input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,output_item_num_reviews
toys,Arts & Crafts,10,Motion Sand速 2000g Pack,4.9,86.0
toys,Arts & Crafts,10,"Kids crafts Q7S速 loom bands kit - 4400 Colour bands, For teens and beginners. Premium Quality loombands bracelets craft kits and craft sets",4.9,28.0
toys,Arts & Crafts,10,Motion Sand速 Fun Beach Playset,4.9,34.0
toys,Arts & Crafts,10,Motion Sand速 Learning Bucket Playset,4.9,28.0
toys,Arts & Crafts,10,Monster High: Activity Book with 1000 Stickers,4.9,31.0
toys,Arts & Crafts,10,Gel Pens - Brite Ideas (Assorted Pack of 30),4.9,37.0
toys,Arts & Crafts,10,Anker Adventure Time Stationery Set,4.9,31.0
toys,Arts & Crafts,10,Galt Toys Brilliant Hair Bands,4.8,41.0
toys,Arts & Crafts,10,HobbyLine Fine Tip Glass Pens (Pack of 6),4.8,22.0
toys,Arts & Crafts,10,Loom Bands Refill Pack 400 Rainbow Colour Rubber Bands 24 S-Clips Hooking Tool,4.8,28.0
